,Country,GHI_2000,GHI_2007,GHI_2014,GHI_2022,country_missing_data
0,Belarus,5.0,5.0,5.0,5.0,0
1,Bosnia and Herzegovina,9.3,6.6,5.0,5.0,0
2,Chile,5.0,5.0,5.0,5.0,0
3,China,13.3,7.8,5.0,5.0,0
4,Croatia,5.0,5.0,5.0,5.0,0
5,Estonia,5.0,5.0,5.0,5.0,0
6,Hungary,5.5,5.0,5.0,5.0,0
7,Kuwait,5.0,5.0,5.0,5.0,0
8,Latvia,5.6,5.0,5.0,5.0,0
9,Lithuania,5.4,5.0,5.0,5.0,0
10,Montenegro,,5.4,5.0,5.0,0
11,North Macedonia,7.5,7.2,5.0,5.0,0
12,Romania,7.9,5.8,5.1,5.0,0
13,Serbia,,6.1,5.8,5.0,0
14,Slovakia,7.0,5.9,5.7,5.0,0
15,Turkey,10.1,5.8,5.0,5.0,0
16,Uruguay,7.4,6.5,5.0,5.0,0
17,Costa Rica,7.0,5.0,5.0,5.3,0
18,United Arab Emirates,6.2,6.5,5.9,5.3,0
19,Brazil,11.4,7.1,5.0,5.4,0
20,Uzbekistan,24.2,15.4,8.3,5.6,0
21,Georgia,12.3,7.8,6.1,5.7,0
22,Mongolia,30.0,21.8,9.2,5.7,0
23,Bulgaria,8.6,7.9,7.4,5.9,0
24,Kazakhstan,11.2,11.6,5.8,5.9,0
25,Tunisia,10.3,7.6,6.7,6.1,0
26,Albania,20.7,15.8,9.2,6.2,0
27,Russia,10.1,7.1,6.7,6.4,0
28,Iran,13.7,8.8,7.4,6.5,0
29,Saudi Arabia,11.0,12.2,7.4,6.7,0
30,Argentina,6.6,5.5,5.0,6.8,0
31,Algeria,14.5,11.4,8.7,6.9,0
32,Armenia,19.3,12.1,7.3,6.9,0
33,Moldova,18.7,20.3,6.8,6.9,0
34,Jamaica,8.6,8.1,8.8,7.0,0
35,Azerbaijan,24.9,15.3,9.3,7.5,0
36,Ukraine,13.0,7.2,7.2,7.5,0
37,Colombia,10.9,11.2,8.6,7.6,0
38,Peru,20.6,15.0,7.6,7.6,0
39,Kyrgyzstan,18.0,13.6,9.4,7.8,0
40,Paraguay,11.6,11.4,8.1,8.0,0
41,Mexico,10.2,8.5,7.0,8.1,0
42,Panama,18.6,14.0,9.4,8.1,0
43,El Salvador,14.7,12.1,10.4,8.4,0
44,Dominican Republic,15.0,13.9,9.8,8.8,0
45,Trinidad and Tobago,11.0,10.7,8.8,9.0,0
46,Fiji,9.5,8.5,9.3,9.2,0
47,Morocco,15.8,12.4,9.6,9.2,0
48,Turkmenistan,20.4,14.6,10.6,9.5,0
49,Suriname,15.1,11.3,10.0,10.2,0
50,Guyana,17.1,15.8,12.4,10.4,0
51,Lebanon,11.6,11.2,8.7,10.5,0
52,Jordan,10.8,7.5,7.4,10.6,0
53,Cabo Verde,15.3,11.9,12.1,11.8,0
54,Viet Nam,26.3,21.4,15.4,11.9,0
55,Thailand,18.6,12.1,11.9,12.0,0
56,Egypt,16.3,17.2,14.6,12.3,0
57,Malaysia,15.4,13.8,10.9,12.5,0
58,South Africa,18.1,17.2,12.7,12.9,0
59,Oman,14.7,11.5,11.5,13.0,0
60,Bolivia,27.7,22.0,14.7,13.2,0
61,Honduras,21.8,19.2,14.1,13.4,0
62,Mauritius,15.3,14.1,13.0,13.4,0
63,Nicaragua,22.4,17.9,15.5,13.6,0
64,Sri Lanka,21.7,18.9,17.3,13.6,0
65,Iraq,23.8,20.8,16.6,13.7,0
66,Ghana,28.5,22.1,15.5,13.9,0
67,Tajikistan,40.3,32.9,20.6,13.9,0
68,Philippines,25.0,19.5,18.8,14.8,0
69,Ecuador,19.7,18.6,11.7,15.2,0
70,Myanmar,39.9,29.4,17.9,15.6,0
71,Senegal,34.2,22.8,17.6,15.6,0
72,Eswatini,24.7,22.9,18.4,16.3,0
73,Cote d'Ivoire,33.4,35.8,22.7,16.8,0
74,Cambodia,41.1,26.1,20.1,17.1,0
75,Gabon,20.9,20.3,16.5,17.2,0
76,Indonesia,26.1,29.1,22.2,17.9,0
77,Namibia,25.4,26.8,22.9,18.7,0
78,Guatemala,28.4,24.1,21.7,18.8,0
79,Cameroon,35.8,29.9,21.4,18.9,0
80,Nepal,37.0,30.0,21.2,19.1,0
81,Laos,44.2,31.4,22.5,19.2,0
82,Solomon Islands,20.1,18.1,22.3,19.4,0
83,Bangladesh,33.9,31.3,26.3,19.6,0
84,Venezuela,14.6,10.1,8.1,19.9,0
85,Botswana,27.7,25.8,20.5,20.0,0
86,Gambia,29.0,26.5,22.2,20.7,0
87,Malawi,43.3,32.5,24.1,20.7,0
88,Mauritania,31.8,28.3,26.3,20.7,0
89,Djibouti,44.3,35.8,27.4,21.5,0
90,Benin,33.8,26.9,23.2,21.7,0
91,Togo,39.3,30.2,26.1,22.8,0
92,Mali,41.7,35.7,26.1,23.2,0
93,Kenya,36.6,31.1,21.6,23.5,0
94,Tanzania,40.8,30.9,25.5,23.6,0
95,Burkina Faso,44.9,34.5,26.5,24.5,0
96,North Korea,39.5,29.6,27.5,24.9,0
97,Angola,64.9,44.7,26.2,25.9,0
98,Pakistan,36.8,32.1,29.6,26.1,0
99,Papua New Guinea,33.6,29.9,29.0,26.5,0
100,Comoros,39.5,31.7,29.1,26.9,0
101,Rwanda,49.9,35.9,29.5,27.2,0
102,Nigeria,40.4,32.1,28.4,27.3,0
103,Ethiopia,53.6,42.6,27.4,27.6,0
104,Congo,34.7,33.7,25.3,28.1,0
105,Sudan,,,29.3,28.8,0
106,India,38.8,36.3,28.2,29.1,0
107,Zambia,53.3,46.0,35.2,29.3,0
108,Afghanistan,50.3,38.7,30.6,29.9,0
109,Timor-Leste,,45.5,33.3,30.6,0
110,Guinea-Bissau,37.7,31.0,30.2,30.8,0
111,Sierra Leone,57.5,51.1,33.1,31.5,0
112,Lesotho,32.7,29.1,29.3,32.4,0
113,Liberia,48.2,39.0,34.8,32.4,0
114,Niger,52.5,40.2,32.8,32.6,0
115,Haiti,40.9,41.7,32.6,32.7,0
116,Guinea,,,,27.45,1
117,Mozambique,,,,27.45,1
118,Uganda,,,,27.45,1
119,Zimbabwe,,,,27.45,1
120,Chad,50.7,49.0,40.7,37.2,0
121,Democratic Republic of Congo,48.0,43.2,38.7,37.8,0
122,Madagascar,42.5,37.2,37.3,38.7,0
123,Central African Republic,48.8,46.8,40.7,37.2,0
124,Yemen,41.3,38.4,38.7,37.8,0
125,Syria,,,,,1
126,Burundi,,,,,1
127,Somalia,,,,,1
128,South Sudan,,,,,1
129,Syria,,,,,1
130,Eritrea,,,,,1
131,Libya,,,,,1
132,Maldives,,,,,1
133,Qatar,,,,,1
